study,pattern,beta,epsilon_frac,epsilon_scaled,outcome_std,outcome_mean,n_obs,n_treated,n_control,ate_lower,ate_upper,width,width_ratio,coverage,true_ate,naive_ate,naive_bias,n_valid_sites,n_treated_sites,n_control_sites,theta_1_min,theta_1_max,theta_1_range,theta_0_min,theta_0_max,theta_0_range,point_estimate
gainloss,gender,0.5,0.05,0.024977738585880947,0.4995547717176189,1.5228615863141524,3215,1589,1626,0.6365247093084248,-0.033377856161571365,-0.6699025654699962,-1.3409992325099218,False,0.2867651053248066,0.27396840362362074,-0.012796701701185853,36,36,36,1.4166666666666667,1.878787878787879,0.46212121212121215,1.1923076923076923,1.5,0.3076923076923077,0.280132846756711
gainloss,gender,0.5,0.1,0.049955477171761895,0.4995547717176189,1.5228615863141524,3215,1589,1626,0.5865692321366628,0.01657762101019053,-0.5699916111264722,-1.1409992325099214,False,0.2867651053248066,0.27396840362362074,-0.012796701701185853,36,36,36,1.4166666666666667,1.878787878787879,0.46212121212121215,1.1923076923076923,1.5,0.3076923076923077,0.280132846756711
gainloss,gender,0.5,0.15,0.07493321575764283,0.4995547717176189,1.5228615863141524,3215,1589,1626,0.5366137549649009,0.06653309818195241,-0.4700806567829485,-0.9409992325099217,False,0.2867651053248066,0.27396840362362074,-0.012796701701185853,36,36,36,1.4166666666666667,1.878787878787879,0.46212121212121215,1.1923076923076923,1.5,0.3076923076923077,0.280132846756711
gainloss,gender,0.5,0.2,0.09991095434352379,0.4995547717176189,1.5228615863141524,3215,1589,1626,0.486658277793139,0.11648857535371432,-0.3701697024394247,-0.7409992325099216,False,0.2867651053248066,0.27396840362362074,-0.012796701701185853,36,36,36,1.4166666666666667,1.878787878787879,0.46212121212121215,1.1923076923076923,1.5,0.3076923076923077,0.280132846756711
gainloss,gender,1.0,0.05,0.024979608809492647,0.4995921761898529,1.5220381369177869,3199,1616,1583,0.6265113706163089,-0.012785880420230392,-0.6392972510365393,-1.2796382359550729,False,0.2867651053248066,0.2730973586935448,-0.013667746631261801,36,36,36,1.4666666666666666,1.8529411764705883,0.38627450980392175,1.1764705882352942,1.5294117647058822,0.3529411764705881,0.2829602275864711
gainloss,gender,1.0,0.1,0.049959217618985294,0.4995921761898529,1.5220381369177869,3199,1616,1583,0.5765521529973235,0.0371733371987549,-0.5393788157985686,-1.0796382359550727,False,0.2867651053248066,0.2730973586935448,-0.013667746631261801,36,36,36,1.4666666666666666,1.8529411764705883,0.38627450980392175,1.1764705882352942,1.5294117647058822,0.3529411764705881,0.2829602275864711
gainloss,gender,1.0,0.15,0.07493882642847793,0.4995921761898529,1.5220381369177869,3199,1616,1583,0.5265929353783383,0.08713255481774018,-0.4394603805605981,-0.8796382359550727,False,0.2867651053248066,0.2730973586935448,-0.013667746631261801,36,36,36,1.4666666666666666,1.8529411764705883,0.38627450980392175,1.1764705882352942,1.5294117647058822,0.3529411764705881,0.2829602275864711
gainloss,gender,1.0,0.2,0.09991843523797059,0.4995921761898529,1.5220381369177869,3199,1616,1583,0.476633717759353,0.1370917724367255,-0.3395419453226275,-0.6796382359550727,False,0.2867651053248066,0.2730973586935448,-0.013667746631261801,36,36,36,1.4666666666666666,1.8529411764705883,0.38627450980392175,1.1764705882352942,1.5294117647058822,0.3529411764705881,0.2829602275864711
gainloss,demo_basic,0.25,0.05,0.02498319521737269,0.4996639043474537,1.5203506574827803,3194,1549,1645,0.6126680181674051,-0.07727375293443028,-0.6899417711018354,-1.3808117118303331,False,0.2867651053248066,0.292031921761466,0.005266816436659383,35,35,35,1.3888888888888888,1.8709677419354838,0.4820788530465949,1.2083333333333333,1.5161290322580645,0.30779569892473124,0.29449691530318023
gainloss,demo_basic,0.25,0.1,0.04996639043474538,0.4996639043474537,1.5203506574827803,3194,1549,1645,0.5627016277326597,-0.027307362499684906,-0.5900089902323447,-1.1808117118303332,False,0.2867651053248066,0.292031921761466,0.005266816436659383,35,35,35,1.3888888888888888,1.8709677419354838,0.4820788530465949,1.2083333333333333,1.5161290322580645,0.30779569892473124,0.29449691530318023
