method,ate,se,ci_lower,ci_upper,n_treated,n_control,ground_truth_ate,bias,abs_bias,relative_bias,covers_truth,study,pattern,beta,seed,dataset_path,ground_truth_se,n_obs,propensity_mean,propensity_std,propensity_min,propensity_max,n_used,r_squared,n_matched,match_rate,caliper_used,error
psm,2362.9043307086613,42.84096637466386,2278.93603661432,2446.8726248030025,1270.0,1515.0,2494.929066733021,-132.02473602435975,132.02473602435975,-0.05291723030716831,False,anchoring4,age,2.0,42,confounded_datasets/anchoring4/age_beta2.0_seed42.csv,27.510776742010567,2785,,,,,,,1270.0,1.0,0.055634688984773834,
naive,2529.139147560152,38.225416055181256,2454.217332091997,2604.0609630283075,1488.0,1338.0,2494.929066733021,34.21008082713115,34.21008082713115,0.013711845071382114,True,anchoring4,demo_basic,0.1,42,confounded_datasets/anchoring4/demo_basic_beta0.1_seed42.csv,27.510776742010567,2826,,,,,,,,,,
ipw,2531.028169016263,32.951289881521134,2466.443640848481,2595.6126971840445,,,2494.929066733021,36.09910228324179,36.09910228324179,0.01446898942522309,True,anchoring4,demo_basic,0.1,42,confounded_datasets/anchoring4/demo_basic_beta0.1_seed42.csv,27.510776742010567,2826,0.5265366232730999,0.031160250965417975,0.45853448136469,0.6240580849788548,2826.0,,,,,
outcome_regression,2530.511646117335,33.73062398323536,2464.3996231101937,2596.6236691244767,,,2494.929066733021,35.58257938431416,35.58257938431416,0.014261960333368387,True,anchoring4,demo_basic,0.1,42,confounded_datasets/anchoring4/demo_basic_beta0.1_seed42.csv,27.510776742010567,2826,,,,,2826.0,0.609184781051386,,,,
aipw,2531.1237393300366,38.07708370030507,2456.4926552774386,2605.7548233826346,,,2494.929066733021,36.1946725970156,36.1946725970156,0.01450729524924355,True,anchoring4,demo_basic,0.1,42,confounded_datasets/anchoring4/demo_basic_beta0.1_seed42.csv,27.510776742010567,2826,0.5265366232730999,0.031160250965417975,,,2826.0,,,,,
psm,2549.6172715053763,37.34456147256963,2476.4219310191397,2622.812611991613,1488.0,1338.0,2494.929066733021,54.68820477235522,54.68820477235522,0.02191974333120683,True,anchoring4,demo_basic,0.1,42,confounded_datasets/anchoring4/demo_basic_beta0.1_seed42.csv,27.510776742010567,2826,,,,,,,1488.0,1.0,0.006232050193083595,
naive,2543.899192917341,38.34335605004335,2468.7462150592564,2619.052170775426,1486.0,1333.0,2494.929066733021,48.97012618432018,48.97012618432018,0.01962786310732433,True,anchoring4,demo_basic,0.25,42,confounded_datasets/anchoring4/demo_basic_beta0.25_seed42.csv,27.510776742010567,2819,,,,,,,,,,
ipw,2546.8251969631265,38.92206688797062,2470.537945862704,2623.112448063549,,,2494.929066733021,51.89613023010543,51.89613023010543,0.02080064356220784,True,anchoring4,demo_basic,0.25,42,confounded_datasets/anchoring4/demo_basic_beta0.25_seed42.csv,27.510776742010567,2819,0.5271278364524367,0.08516103730464951,0.3705480438527592,0.824731404994583,2819.0,,,,,
outcome_regression,2548.3258267963915,38.49992005924866,2472.8659834802643,2623.785670112519,,,2494.929066733021,53.39676006337049,53.39676006337049,0.021402115505147708,True,anchoring4,demo_basic,0.25,42,confounded_datasets/anchoring4/demo_basic_beta0.25_seed42.csv,27.510776742010567,2819,,,,,2819.0,0.6107526346319883,,,,
aipw,2546.7577583229117,38.740573852798214,2470.826233571427,2622.6892830743964,,,2494.929066733021,51.828691589890695,51.828691589890695,0.020773613278616234,True,anchoring4,demo_basic,0.25,42,confounded_datasets/anchoring4/demo_basic_beta0.25_seed42.csv,27.510776742010567,2819,0.5271278364524367,0.08516103730464951,,,2819.0,,,,,
